id,nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecomposition,godClass,spaghettiCode,isFlaky
8980,http-request,com.github.kevinsawicki.http.httprequesttest.malformedstringurl,0.02590674,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.04761905,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,FALSE
8981,http-request,com.github.kevinsawicki.http.httprequesttest.malformedstringurlcause,0.05699482,0.375,0.0,0.0212766,0.0,0.0952381,0.0,0.0,0.04761905,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,FALSE
8982,http-request,com.github.kevinsawicki.http.httprequesttest.negativebuffersize,0.02590674,0.0,0.0,0.0,0.0,0.1428571,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,FALSE
8983,http-request,com.github.kevinsawicki.http.httprequesttest.getempty,0.1917098,0.25,0.3089516,0.3829787,0.0,0.7142857,0.5,0.0,0.02380952,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,FALSE
8985,http-request,com.github.kevinsawicki.http.httprequesttest.geturlempty,0.134715,0.125,0.2070575,0.1702128,0.0,0.4285714,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,FALSE
8987,http-request,com.github.kevinsawicki.http.httprequesttest.getnocontent,0.134715,0.125,0.2070575,0.1702128,0.0,0.4285714,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,FALSE
8989,http-request,com.github.kevinsawicki.http.httprequesttest.geturlencodedwithspace,0.0880829,0.125,0.03105863,0.04255319,0.0,0.1428571,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,TRUE
8991,http-request,com.github.kevinsawicki.http.httprequesttest.geturlencodedwithunicode,0.0880829,0.125,0.03105863,0.04255319,0.0,0.1428571,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,TRUE
8993,http-request,com.github.kevinsawicki.http.httprequesttest.geturlencodedwithpercent,0.0880829,0.125,0.03105863,0.04255319,0.0,0.1428571,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,TRUE
8995,http-request,com.github.kevinsawicki.http.httprequesttest.deleteempty,0.1036269,0.125,0.1331084,0.06382979,0.0,0.3809524,0.0,0.0,0.0,0.0,0.1036334,1.0,0.02586207,1.0,1.0,0.8648208,0.6848249,0.4012121,0.8302248,0.7938609,0.375,1.0,0.0,0.0461437,0.9176934,FALSE
